"INCIDENT_ID","FIRST_OCCURENCE_DATE","LAST_OCCURENCE_DATE","REPORTDATE","INCIDENT_ADDRESS","GEO_X","GEO_Y","DISTRICT_ID","PRECINCT_ID","OFFENSE_CODE","OFFENSE_TYPE_ID","OFFENSE_CATEGORY_ID","MJ_RELATION_TYPE","NEIGHBORHOOD_ID"
"2012422999","12-SEP-12","12-SEP-12","12-SEP-12","5885 E EVANS AVE","3163373","1672717","3","322","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","virginia-village"
"2012561267","04-DEC-12","04-DEC-12","04-DEC-12","2647 W 38TH AVE","3134904","1705512","1","111","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","sunnyside"
"2013153588","05-APR-13","06-APR-13","06-APR-13","109 W 12TH AVE","3143692","1693124","6","611","2305","THEFT - ITEMS FROM VEHICLE","Theft from Motor Vehicle","NON-INDUSTRY","civic-center"
"2012281352","26-JUN-12","27-JUN-12","27-JUN-12","155 S PECOS ST","3138861","1685187","4","411","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","valverde"
"2012307051","10-JUL-12","10-JUL-12","11-JUL-12","4040 E 8TH AVE","3157597","1690888","2","222","3599","DRUG - MAKE/SELL OTHER DRUG","Drug Offenses","NON-INDUSTRY","hale"
"2012306260","10-JUL-12","","10-JUL-12","5702 E COLFAX AVE","3162682","1694930","2","222","2999","CRIMINAL MISCHIEF - OTHER","Criminal Mischief-Property","INDUSTRY","montclair"
"2012565390","06-DEC-12","06-DEC-12","06-DEC-12","4620 N PEORIA ST","3183815","1709739","5","512","2205","BURGLARY - BUSINESS NO FORCE","Burglary","INDUSTRY","montbello"
"201285513","02-MAR-12","02-MAR-12","02-MAR-12","3301 E 42ND AVE","3155008","1707742","2","212","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","elyria-swansea"
"2012318881","17-JUL-12","17-JUL-12","17-JUL-12","970 S ONEIDA ST","3166714","1679991","3","322","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","washington-virginia-vale"
"2012318922","17-JUL-12","17-JUL-12","17-JUL-12","2511 17TH ST","3138243","1701952","1","113","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","highland"
"201244705","29-JAN-12","01-FEB-12","02-FEB-12","835 E 50TH AVE","3147226","1712486","1","112","2999","CRIMINAL MISCHIEF - OTHER","Criminal Mischief-Property","INDUSTRY","globeville"
"2012552899","29-NOV-12","29-NOV-12","29-NOV-12","2647 W 38TH AVE","3134904","1705512","1","111","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","sunnyside"
"20124752","04-JAN-12","04-JAN-12","04-JAN-12","1120 N LOGAN ST","3145704","1692717","6","623","2204","BURGLARY - RESIDENCE NO FORCE","Burglary","NON-INDUSTRY","capitol-hill"
"2012481770","16-OCT-12","16-OCT-12","16-OCT-12","3424 LARIMER ST","3147631","1704433","2","211","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","five-points"
"2013157734","08-APR-13","08-APR-13","08-APR-13","1460 S GRAPE ST","3161779","1676743","3","322","2202","BURGLARY - RESIDENCE BY FORCE","Burglary","NON-INDUSTRY","virginia-village"
"2012443060","19-SEP-12","19-SEP-12","23-SEP-12","1531 N LEYDEN ST","3164370","1695245","2","222","2308","THEFT - FROM BLDG","Larceny","NON-INDUSTRY","south-park-hill"
"201290139","05-MAR-12","","05-MAR-12","745 E 6TH AVE","3146859","1689682","3","311","2999","CRIMINAL MISCHIEF - OTHER","Criminal Mischief-Property","INDUSTRY","speer"
"2012377447","18-AUG-12","18-AUG-12","18-AUG-12","3054 LARIMER ST","3146378","1703160","2","211","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","five-points"
"2012467134","13-OCT-12","13-OCT-12","13-OCT-12","4401 N ZENOBIA ST","3125813","1708103","1","111","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","berkeley"
"2012463935","05-OCT-12","05-OCT-12","05-OCT-12","570 N MADISON ST","3155835","1689595","3","312","2202","BURGLARY - RESIDENCE BY FORCE","Burglary","NON-INDUSTRY","cherry-creek"
"2012491723","22-OCT-12","22-OCT-12","22-OCT-12","1005 N FEDERAL BLVD","3133440","1692262","1","122","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","villa-park"
"2012171386","26-APR-12","26-APR-12","26-APR-12","2511 17TH ST","3138243","1701952","1","113","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","highland"
"2012171409","25-APR-12","26-APR-12","26-APR-12","1479 S HOLLY ST","3162218","1676651","3","322","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","virginia-village"
"2012166762","23-APR-12","23-APR-12","23-APR-12","970 S ONEIDA ST","3166714","1679991","3","322","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","washington-virginia-vale"
"2012496119","24-OCT-12","24-OCT-12","24-OCT-12","2117 LARIMER ST","3143046","1700065","6","612","2205","BURGLARY - BUSINESS NO FORCE","Burglary","INDUSTRY","five-points"
"2012564125","06-DEC-12","06-DEC-12","06-DEC-12","1538 WAZEE ST","3140492","1698688","6","612","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","union-station"
"2012397409","29-AUG-12","29-AUG-12","29-AUG-12","1133 S BANNOCK ST","3143409","1678844","3","311","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","overland"
"2012569750","08-DEC-12","08-DEC-12","09-DEC-12","1705 N FEDERAL BLVD","3133375","1696309","1","121","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","west-colfax"
"2012265827","18-JUN-12","18-JUN-12","18-JUN-12","200 S JULIAN ST","3131981","1685006","4","411","2202","BURGLARY - RESIDENCE BY FORCE","Burglary","NON-INDUSTRY","barnum"
"2012241493","05-JUN-12","05-JUN-12","05-JUN-12","990 W 6TH AVE","3140766","1689518","3","311","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","baker"
"2012369954","14-AUG-12","14-AUG-12","14-AUG-12","2008 N FEDERAL BLVD","3133615","1697629","1","121","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","jefferson-park"
"2012369960","14-AUG-12","14-AUG-12","14-AUG-12","4125 N ELATI ST","3142294","1706924","1","112","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","globeville"
"201241160","30-JAN-12","30-JAN-12","30-JAN-12","4945 N PEARL ST","3146045","1711810","1","112","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","globeville"
"2013151543","05-APR-13","05-APR-13","05-APR-13","4905 N YORK ST","3151525","1711456","2","212","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","elyria-swansea"
"2013272575","01-MAR-13","12-MAR-13","16-JUN-13","680 N LIPAN ST","3140220","1690103","1","123","2399","THEFT - OTHER","Larceny","INDUSTRY","lincoln-park"
"2013120612","11-FEB-13","","15-MAR-13","5195 E 39TH AVE","3160986","1706496","2","221","2399","THEFT - OTHER","Larceny","INDUSTRY","northeast-park-hill"
"2013338406","21-JUL-13","21-JUL-13","21-JUL-13","1755 S BROADWAY ST","3144171","1674691","3","313","2999","CRIMINAL MISCHIEF - OTHER","Criminal Mischief-Property","INDUSTRY","overland"
"2013383338","14-AUG-13","","14-AUG-13","3722 CHESTNUT PL","3146815","1707045","2","211","5707","CRIMINAL TRESPASSING","All Other Crimes","INDUSTRY","five-points"
"2013374313","09-AUG-13","09-AUG-13","09-AUG-13","3643 N GRAPE ST","3161654","1705237","2","221","2204","BURGLARY - RESIDENCE NO FORCE","Burglary","NON-INDUSTRY","northeast-park-hill"
"2015755704","23-NOV-15","30-DEC-15","30-DEC-15","3450 N BRIGHTON BLVD","3146505","1705791","2","211","2799","THEFT - EMBEZZLE","All Other Crimes","INDUSTRY","five-points"
"2013186194","27-APR-13","27-APR-13","27-APR-13","1569 S COLORADO BLVD","3157183","1676049","3","312","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","cory-merrill"
"2015549237","21-SEP-15","21-SEP-15","21-SEP-15","1550 N BROADWAY ST","3144340","1695281","6","621","1205","ROBBERY - STREET","Robbery-Street-Res","NON-INDUSTRY","north-capitol-hill"
"2013397902","22-AUG-13","","22-AUG-13","4401 N ZENOBIA ST","3125813","1708103","1","111","1202","ROBBERY - BUSINESS","Robbery-Business","INDUSTRY","berkeley"
"2013211346","12-MAY-13","12-MAY-13","12-MAY-13","1755 S BROADWAY ST","3144171","1674691","3","313","2999","CRIMINAL MISCHIEF - OTHER","Criminal Mischief-Property","INDUSTRY","overland"
"2013201626","06-MAY-13","06-MAY-13","06-MAY-13","670 N BRYANT ST","3135477","1690054","1","122","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","sun-valley"
"2015351637","24-JUN-15","24-JUN-15","24-JUN-15","1400 BLOCK N MARIPOSA ST","3139899","1694302","1","123","1205","ROBBERY - STREET","Robbery-Street-Res","NON-INDUSTRY","lincoln-park"
"2013471683","30-SEP-13","30-SEP-13","30-SEP-13","2045 S ACOMA ST","3143803","1672772","3","313","2399","THEFT - OTHER","Larceny","NON-INDUSTRY","overland"
"2014429315","16-AUG-14","16-AUG-14","16-AUG-14","2116 S KALAMATH ST","3140607","1672258","4","422","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","college-view-south-platte"
"2014667147","17-DEC-14","","17-DEC-14","1600 BLOCK N FEDERAL BLVD","3133537","1695991","1","121","1315","AGGRAVATED ASSAULT","Agg ASLT-Other","NON-INDUSTRY","sun-valley"
"2015694523","28-NOV-15","28-NOV-15","28-NOV-15","770 N HUDSON ST","3162124","1690789","2","222","2202","BURGLARY - RESIDENCE BY FORCE","Burglary","NON-INDUSTRY","hale"
"2013204474","07-MAY-13","08-MAY-13","08-MAY-13","2731 W SHORT PL","3134693","1688594","4","411","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","valverde"
"2013250703","03-JUN-13","03-JUN-13","04-JUN-13","1300 BLOCK N COLORADO BLVD","3157326","1693996","2","222","1205","ROBBERY - STREET","Robbery-Street-Res","NON-INDUSTRY","hale"
"2014503819","22-SEP-14","23-SEP-14","23-SEP-14","2650 W 6TH AVE","3135071","1689198","4","411","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","valverde"
"2015516018","06-SEP-15","06-SEP-15","06-SEP-15","1075 S JASON ST","3140907","1679196","4","412","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","athmar-park"
"201297811","10-MAR-12","10-MAR-12","10-MAR-12","313 N DETROIT ST","3153344","1688048","3","312","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","cherry-creek"
"2013122976","16-MAR-13","16-MAR-13","16-MAR-13","4807 N STEELE ST","3154555","1710931","2","212","2202","BURGLARY - RESIDENCE BY FORCE","Burglary","NON-INDUSTRY","elyria-swansea"
"2013250916","04-JUN-13","04-JUN-13","04-JUN-13","1755 S BROADWAY ST","3144171","1674691","3","313","2999","CRIMINAL MISCHIEF - OTHER","Criminal Mischief-Property","INDUSTRY","overland"
"2013363424","03-AUG-13","03-AUG-13","03-AUG-13","1470 N GRANT ST","3145329","1694756","6","623","2204","BURGLARY - RESIDENCE NO FORCE","Burglary","NON-INDUSTRY","capitol-hill"
"2014164281","02-APR-14","02-APR-14","02-APR-14","4095 N JACKSON ST","3156492","1707155","2","212","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","elyria-swansea"
"201691036","12-FEB-16","12-FEB-16","12-FEB-16","2645 S SANTA FE DR","3141468","1668820","3","313","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","overland"
"2013123417","17-MAR-13","17-MAR-13","17-MAR-13","111 S MADISON ST","3155710","1685564","3","312","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","cherry-creek"
"2013182955","24-APR-13","25-APR-13","25-APR-13","1755 S BROADWAY ST","3144171","1674691","3","313","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","overland"
"201314741","09-JAN-13","10-JAN-13","10-JAN-13","2324 E MLK BLVD","3152069","1702842","2","213","2202","BURGLARY - RESIDENCE BY FORCE","Burglary","NON-INDUSTRY","skyland"
"201314741","09-JAN-13","10-JAN-13","10-JAN-13","2324 E MLK BLVD","3152069","1702842","2","213","2999","CRIMINAL MISCHIEF - OTHER","Criminal Mischief-Property","NON-INDUSTRY","skyland"
"2013339525","21-JUL-13","21-JUL-13","21-JUL-13","753 N OSCEOLA ST","3129751","1690828","1","122","2204","BURGLARY - RESIDENCE NO FORCE","Burglary","NON-INDUSTRY","villa-park"
"2013275216","18-JUN-13","18-JUN-13","18-JUN-13","7380 E COLFAX AVE","3167983","1694958","2","223","2999","CRIMINAL MISCHIEF - OTHER","Criminal Mischief-Property","INDUSTRY","east-colfax"
"2013345446","25-JUL-13","25-JUL-13","25-JUL-13","2910 S BRYANT ST","3135781","1666841","4","422","1315","AGGRAVATED ASSAULT","Agg ASLT-Other","NON-INDUSTRY","college-view-south-platte"
"2013345611","24-JUL-13","25-JUL-13","25-JUL-13","762 N KALAMATH ST","3140710","1690636","1","123","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","lincoln-park"
"2013336881","19-JUL-13","20-JUL-13","20-JUL-13","419 W 13TH AVE","3142462","1693725","6","611","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","civic-center"
"2013397283","21-AUG-13","","22-AUG-13","1597 N VALENTIA ST","3171010","1695653","2","223","1208","ROBBERY - RESIDENCE","Robbery-Street-Res","NON-INDUSTRY","east-colfax"
"2013231414","23-MAY-13","23-MAY-13","23-MAY-13","8339 E COLFAX AVE","3171330","1695164","2","223","1208","ROBBERY - RESIDENCE","Robbery-Street-Res","NON-INDUSTRY","east-colfax"
"2013225593","20-MAY-13","","20-MAY-13","6853 LEETSDALE DR","3166373","1680902","3","321","4803","POLICE - FALSE INFORMATION","All Other Crimes","INDUSTRY","washington-virginia-vale"
"201331602","20-JAN-13","20-JAN-13","20-JAN-13","155 N FEDERAL BLVD","3133487","1687235","4","411","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","barnum"
"2013340445","21-JUL-13","21-JUL-13","22-JUL-13","870 N NAVAJO ST","3139520","1691139","1","123","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","lincoln-park"
"2013256526","07-JUN-13","07-JUN-13","07-JUN-13","4890 N CHASE ST","3124669","1711302","1","111","2202","BURGLARY - RESIDENCE BY FORCE","Burglary","NON-INDUSTRY","regis"
"2013321349","12-JUL-13","12-JUL-13","12-JUL-13","835 E 50TH AVE","3147226","1712486","1","112","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","globeville"
"2013337377","15-JUL-13","15-JUL-13","15-JUL-13","3937 W COLFAX AVE","3129614","1694999","1","121","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","west-colfax"
"201397801","01-MAR-13","01-MAR-13","01-MAR-13","2300 S CHEROKEE ST","3143331","1671051","3","313","3599","DRUG - PCS - OTHER DRUG","Drug Offenses","NON-INDUSTRY","overland"
"201348341","30-JAN-13","30-JAN-13","30-JAN-13","1155 S CHEROKEE ST","3143076","1678660","3","311","1315","MENACING - FELONY W/WEAP","Agg ASLT-Firearm","INDUSTRY","overland"
"2016226473","07-APR-16","","12-APR-16","4495 N WASHINGTON ST","3146216","1708700","1","112","2399","THEFT - OTHER","Larceny","INDUSTRY","globeville"
"2015270723","11-MAY-15","","17-MAY-15","2020 S BROADWAY ST","3144349","1672869","3","313","2303","THEFT - SHOPLIFT","Larceny","INDUSTRY","platt-park"
"2013223729","18-MAY-13","19-MAY-13","19-MAY-13","1755 S BROADWAY ST","3144171","1674691","3","313","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","overland"
"2013213128","12-MAY-13","13-MAY-13","13-MAY-13","2301 7TH ST","3136478","1699246","1","123","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","jefferson-park"
"2013129040","21-MAR-13","21-MAR-13","21-MAR-13","1569 S COLORADO BLVD","3157183","1676049","3","312","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","cory-merrill"
"2013394749","20-AUG-13","","20-AUG-13","1569 S COLORADO BLVD","3157183","1676049","3","312","1316","THREATS TO INJURE","All Other Crimes","INDUSTRY","cory-merrill"
"2013397618","22-AUG-13","22-AUG-13","22-AUG-13","29 S KING ST","3131081","1685997","4","411","1208","ROBBERY - RESIDENCE","Robbery-Street-Res","NON-INDUSTRY","barnum"
"2015504394","01-SEP-15","01-SEP-15","01-SEP-15","445 N FEDERAL BLVD","3133474","1688828","4","411","2305","THEFT - ITEMS FROM VEHICLE","Theft from Motor Vehicle","INDUSTRY","barnum"
"2015463798","13-AUG-15","13-AUG-15","14-AUG-15","1240 S BANNOCK ST","3143559","1678125","3","311","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","overland"
"2013504844","19-OCT-13","19-OCT-13","19-OCT-13","202 N RALEIGH ST","3128911","1687438","4","411","1208","ROBBERY - RESIDENCE","Robbery-Street-Res","NON-INDUSTRY","barnum-west"
"201488110","19-FEB-14","","20-FEB-14","2150 S DOWNING ST","3148468","1672100","3","313","3560","DRUG - MARIJUANA SELL","Drug Offenses","NON-INDUSTRY","university"
"201314783","10-JAN-13","10-JAN-13","10-JAN-13","183 W ALAMEDA AVE","3142935","1684444","3","311","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","baker"
"2013380307","13-AUG-13","","13-AUG-13","5523 N BILLINGS ST","3189432","1714451","5","512","5312","DISTURBING THE PEACE","All Other Crimes","NON-INDUSTRY","montbello"
"2013393883","19-AUG-13","19-AUG-13","20-AUG-13","110 N YUMA ST","3136505","1687000","4","411","1316","THREATS TO INJURE","All Other Crimes","INDUSTRY","valverde"
"2014601683","11-NOV-14","11-NOV-14","11-NOV-14","1800 N DOWNING ST","3148199","1696681","6","622","1205","ROBBERY - STREET","Robbery-Street-Res","NON-INDUSTRY","city-park-west"
"201387533","22-FEB-13","22-FEB-13","22-FEB-13","1270 W CEDAR AVE","3139673","1684892","4","411","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","valverde"
"2013311801","06-JUL-13","06-JUL-13","06-JUL-13","1285 S VRAIN ST","3127651","1677796","4","421","2204","BURGLARY - RESIDENCE NO FORCE","Burglary","NON-INDUSTRY","mar-lee"
"2013274059","17-JUN-13","17-JUN-13","17-JUN-13","670 N BRYANT ST","3135477","1690054","1","122","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","sun-valley"
"2013371174","08-AUG-13","","08-AUG-13","2949 W ALAMEDA AVE","3133738","1684368","4","411","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","valverde"
"2015338458","18-JUN-15","18-JUN-15","18-JUN-15","3954 N WILLIAMS ST","3150221","1706661","2","211","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","cole"
"2013281614","21-JUN-13","21-JUN-13","21-JUN-13","20372 E 40TH PL","3210589","1706672","5","513","2202","BURGLARY - RESIDENCE BY FORCE","Burglary","NON-INDUSTRY","gateway-green-valley-ranch"
"2013358262","01-AUG-13","","01-AUG-13","4095 N JACKSON ST","3156492","1707155","2","212","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","elyria-swansea"
"2013278959","19-JUN-13","20-JUN-13","20-JUN-13","2777 S COLORADO BLVD","3157354","1667895","3","313","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","wellshire"
"2014121190","09-MAR-14","09-MAR-14","09-MAR-14","3221 N HIGH ST","3150386","1703081","2","211","2202","BURGLARY - RESIDENCE BY FORCE","Burglary","NON-INDUSTRY","cole"
"2013242701","23-MAY-13","","30-MAY-13","1920 S CHEROKEE ST","3143325","1673588","3","313","1315","MENACING - FELONY W/WEAP","Agg ASLT-Firearm","INDUSTRY","overland"
"2013237307","27-MAY-13","27-MAY-13","27-MAY-13","2040 S NAVAJO ST","3139649","1672792","4","422","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","college-view-south-platte"
"2013316147","09-JUL-13","09-JUL-13","09-JUL-13","2119 LARIMER ST","3143046","1700065","6","612","2999","CRIMINAL MISCHIEF - OTHER","Criminal Mischief-Property","INDUSTRY","five-points"
"2013282746","21-JUN-13","","22-JUN-13","110 N YUMA ST","3136505","1687000","4","411","7199","PROPERTY CRIMES OTHER","All Other Crimes","INDUSTRY","valverde"
"2013282971","22-JUN-13","","22-JUN-13","5926 E COLFAX AVE","3163489","1694951","2","222","2999","CRIMINAL MISCHIEF - OTHER","Criminal Mischief-Property","INDUSTRY","montclair"
"2013380708","12-AUG-13","13-AUG-13","13-AUG-13","777 N CANOSA CT","3134946","1690779","1","122","2999","CRIMINAL MISCHIEF - OTHER","Criminal Mischief-Property","INDUSTRY","sun-valley"
"2013594770","11-DEC-13","11-DEC-13","11-DEC-13","2748 W ALAMEDA AVE","3134512","1684157","4","412","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","athmar-park"
"2013288537","25-JUN-13","25-JUN-13","25-JUN-13","3814 WALNUT ST","3148591","1705976","2","211","2999","CRIMINAL MISCHIEF - OTHER","Criminal Mischief-Property","INDUSTRY","cole"
"2013206007","09-MAY-13","09-MAY-13","09-MAY-13","1755 S BROADWAY ST","3144171","1674691","3","313","2999","CRIMINAL MISCHIEF - OTHER","Criminal Mischief-Property","INDUSTRY","overland"
"2013206096","08-MAY-13","09-MAY-13","09-MAY-13","5475 N PEORIA ST","3183035","1715020","5","511","2205","BURGLARY - BUSINESS NO FORCE","Burglary","INDUSTRY","montbello"
"2013386164","15-AUG-13","16-AUG-13","16-AUG-13","2059 W 9TH AVE","3137128","1691610","1","123","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","lincoln-park"
"2013176844","21-APR-13","","21-APR-13","4615 E COLFAX AVE","3159365","1695079","2","222","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","south-park-hill"
"2013133608","24-MAR-13","24-MAR-13","24-MAR-13","1133 S BANNOCK ST","3143409","1678844","3","311","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","overland"
"201299457","11-MAR-12","11-MAR-12","11-MAR-12","745 E 6TH AVE","3146859","1689682","3","311","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","speer"
"2013617295","24-DEC-13","24-DEC-13","24-DEC-13","1705 N FEDERAL BLVD","3133375","1696309","1","121","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","west-colfax"
"2015355312","24-JUN-15","25-JUN-15","25-JUN-15","3170 W 14TH AVE","3132531","1694213","1","122","2308","THEFT - FROM BLDG","Larceny","NON-INDUSTRY","west-colfax"
"2013542574","10-NOV-13","10-NOV-13","10-NOV-13","3995 E 50TH AVE","3156921","1712528","2","212","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","elyria-swansea"
